temperature,training_fold,llm_type,aug_count,classifier,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.9,1,huggyllama/llama-7b,0,roberta,1.3875532150268555,0.7391304347826086,0.4999999999999999,0.46153846153846156,0.5454545454545454,0.8285714285714285,0.6885,66.812,8.715,15.59
0.9,1,huggyllama/llama-7b,0,xlnet,0.7051463723182678,0.8695652173913043,0.7500000000000001,0.6923076923076923,0.8181818181818182,0.9012987012987013,1.5637,29.418,3.837,13.24
0.9,1,huggyllama/llama-7b,0,distilbert,0.8712255954742432,0.7391304347826086,0.5714285714285714,0.47058823529411764,0.7272727272727273,0.8051948051948052,0.5719,80.43,10.491,11.18
0.9,1,huggyllama/llama-30b,0,roberta,1.040799617767334,0.782608695652174,0.6666666666666666,0.5263157894736842,0.9090909090909091,0.9012987012987013,0.7283,63.164,8.239,12.94
0.9,1,huggyllama/llama-30b,0,xlnet,1.4449974298477173,0.8260869565217391,0.6666666666666667,0.6153846153846154,0.7272727272727273,0.8337662337662338,1.6027,28.702,3.744,19.41
0.9,1,huggyllama/llama-30b,0,distilbert,0.48395824432373047,0.7608695652173914,0.47619047619047616,0.5,0.45454545454545453,0.8025974025974026,0.6593,69.772,9.101,9.71
0.9,1,Aeala/VicUnlocked-alpaca-30b,0,roberta,0.4281824827194214,0.782608695652174,0.6153846153846153,0.5333333333333333,0.7272727272727273,0.851948051948052,0.8024,57.329,7.478,10.88
0.9,1,Aeala/VicUnlocked-alpaca-30b,0,xlnet,0.8423768877983093,0.8260869565217391,0.5555555555555556,0.7142857142857143,0.45454545454545453,0.8649350649350649,1.634,28.151,3.672,15.0
0.9,1,Aeala/VicUnlocked-alpaca-30b,0,distilbert,1.2665950059890747,0.7608695652173914,0.47619047619047616,0.5,0.45454545454545453,0.8233766233766234,0.6821,67.437,8.796,14.12
0.9,1,/scratch/cehrett/hf_cache/models--alpaca-7b,0,roberta,0.8991809487342834,0.717391304347826,0.6285714285714286,0.4583333333333333,1.0,0.8623376623376624,0.8192,56.15,7.324,11.47
0.9,1,/scratch/cehrett/hf_cache/models--alpaca-7b,0,xlnet,1.2225552797317505,0.8260869565217391,0.7333333333333334,0.5789473684210527,1.0,0.8857142857142857,1.6397,28.054,3.659,13.82
0.9,1,/scratch/cehrett/hf_cache/models--alpaca-7b,0,distilbert,0.9071987867355347,0.7608695652173914,0.47619047619047616,0.5,0.45454545454545453,0.8181818181818182,0.6116,75.211,9.81,11.18
0.9,2,huggyllama/llama-7b,0,roberta,0.557339608669281,0.7608695652173914,0.0,0.0,0.0,0.6493506493506493,0.623,73.842,9.632,8.24
0.9,2,huggyllama/llama-7b,0,xlnet,1.923784613609314,0.7608695652173914,0.5217391304347826,0.5,0.5454545454545454,0.7350649350649351,0.7044,65.301,8.518,21.76
0.9,2,huggyllama/llama-7b,0,distilbert,1.1932227611541748,0.7608695652173914,0.0,0.0,0.0,0.7714285714285714,0.5914,77.778,10.145,10.59
0.9,2,huggyllama/llama-30b,0,roberta,2.4737911224365234,0.717391304347826,0.23529411764705885,0.3333333333333333,0.18181818181818182,0.7610389610389611,0.654,70.339,9.175,19.71
0.9,2,huggyllama/llama-30b,0,xlnet,1.2741897106170654,0.6956521739130435,0.5,0.4117647058823529,0.6363636363636364,0.7272727272727273,0.7775,59.165,7.717,13.24
0.9,2,huggyllama/llama-30b,0,distilbert,1.210882544517517,0.7608695652173914,0.26666666666666666,0.5,0.18181818181818182,0.7220779220779221,0.5552,82.852,10.807,11.47
0.9,2,Aeala/VicUnlocked-alpaca-30b,0,roberta,2.2135868072509766,0.6086956521739131,0.5,0.36,0.8181818181818182,0.7246753246753247,0.5937,77.486,10.107,15.59
